Água Mineral,2024-12-31,2.50,100,Bonafont,Bebida,500ml
Refrigerante de Cola,2023-08-15,5.00,50,Coca-Cola,Bebida,2L
Suco de Laranja,2025-06-30,7.50,80,Natural One,Bebida,1L
Cerveja Pilsen,2025-04-30,3.00,200,Skol,Bebida,350ml
Chá Mate,2024-11-30,4.50,150,Matte Leão,Bebida,1L
Café em Pó,2023-12-31,10.00,50,Três Corações,Bebida,500g
Energético,2023-07-31,8.00,100,Red Bull,Bebida,250ml
Vinho Tinto,2023-07-31,25.00,30,Concha y Toro,Bebida,750ml
Whisky,2023-06-30,80.00,20,Johnnie Walker,Bebida,1L
Vodka,2023-08-31,40.00,40,Absolut,Bebida,750ml
Gin,2024-09-30,60.00,30,Tanqueray,Bebida,750ml
Rum,2024-01-31,35.00,50,Bacardi,Bebida,1L
Tequila,2023-06-30,50.00,40,Jose Cuervo,Bebida,750ml
Champagne,2023-06-30,100.00,20,Moët & Chandon,Bebida,750ml
Licor,2023-06-30,25.00,50,Amarula,Bebida,750ml
Água de Coco,2023-06-30,4.00,100,Ducoco,Bebida,500ml
Ginger Ale,2023-06-30,6.00,80,Canada Dry,Bebida,1L
Suco de Uva,2023-06-30,9.00,60,Aurora,Bebida,1L
Iced Tea,2023-06-30,5.00,90,Lipton,Bebida,500ml
Leite,2023-06-30,3.50,120,Piracanjuba,Bebida,1L
Soda Limonada,2023-06-30,3.50,70,Schweppes,Bebida,350ml
Cappuccino,2023-06-30,7.00,50,Nescafé,Bebida,200g
Suco Detox,2023-06-30,8.50,40,Green People,Bebida,300ml
Champagne Rosé,2023-06-30,120.00,20,Veuve Clicquot,Bebida,750ml
Energético Zero Açúcar,2023-06-30,8.00,60,Monster,Bebida,500ml
